Order ID,Order Date,Category,Sub-Category,Product Name,Region,Customer Segment,Quantity,Discount,Sales,Profit,Year,Month,MonthName,YearMonth,Profit Margin (%)
ORD-12981,2022-04-28,Technology,Copiers,Desktop Copier,East,Consumer,12,0.0,6879.24,528.33,2022,4,Apr,2022-04,4.03
ORD-16479,2021-07-16,Technology,Phones,Smartphone X200,Central,Consumer,8,0.0,3275.01,620.73,2021,7,Jul,2021-07,21.11
ORD-14546,2023-01-31,Office Supplies,Envelopes,Mailing Envelopes,West,Consumer,6,0.15,389.97,39.79,2023,1,Jan,2023-01,10.2
ORD-11421,2023-10-31,Technology,Phones,Office Cordless Phone,Central,Consumer,2,0.15,301.24,83.78,2023,10,Oct,2023-10,27.81
ORD-14930,2021-11-14,Office Supplies,Art,Sketch Pad,North,Consumer,9,0.0,444.37,114.77,2021,11,Nov,2021-11,25.83
ORD-17639,2022-04-26,Office Supplies,Paper,Sticky Notes Pack,Central,Home Office,11,0.0,1178.15,409.47,2022,4,Apr,2022-04,34.76
ORD-14853,2021-11-14,Office Supplies,Binders,View Binder,Central,Consumer,10,0.3,344.93,46.62,2021,11,Nov,2021-11,13.52
ORD-15523,2022-10-29,Office Supplies,Storage,File Cabinet,West,Corporate,2,0.0,228.49,11.68,2022,10,Oct,2022-10,5.11
ORD-15586,2024-08-05,Furniture,Bookcases,Metal Shelving Unit,Central,Corporate,10,0.1,6879.24,27.86,2024,8,Aug,2024-08,0.38
ORD-12399,2023-12-02,Furniture,Bookcases,Corner Bookcase,East,Corporate,7,0.2,1703.97,274.39,2023,12,Dec,2023-12,16.1
ORD-13992,2023-11-15,Office Supplies,Storage,Plastic Bin,Central,Corporate,1,0.0,96.5,23.6,2023,11,Nov,2023-11,24.46
ORD-18340,2021-08-08,Furniture,Chairs,Mesh Task Chair,East,Consumer,4,0.0,2271.08,309.59,2021,8,Aug,2021-08,13.63
ORD-19496,2021-01-05,Office Supplies,Binders,Heavy Duty Binder,North,Consumer,3,0.0,215.32,71.41,2021,1,Jan,2021-01,33.16
ORD-12427,2024-01-15,Office Supplies,Envelopes,Security Envelopes,Central,Home Office,11,0.1,276.86,16.25,2024,1,Jan,2024-01,5.87
ORD-16953,2022-05-31,Office Supplies,Envelopes,Mailing Envelopes,West,Home Office,4,0.0,107.44,22.25,2022,5,May,2022-05,20.71
ORD-18118,2021-03-20,Technology,Accessories,Wireless Mouse,North,Corporate,2,0.1,2427.55,376.44,2021,3,Mar,2021-03,15.51
ORD-19068,2021-10-25,Office Supplies,Storage,Storage Box,South,Consumer,12,0.2,1328.71,189.07,2021,10,Oct,2021-10,14.23
ORD-10438,2024-01-13,Furniture,Chairs,Mesh Task Chair,North,Home Office,6,0.0,575.43,-15.9,2024,1,Jan,2024-01,-2.76
ORD-15778,2023-01-29,Technology,Phones,Smartphone Lite,Central,Corporate,6,0.0,6689.16,620.73,2023,1,Jan,2023-01,16.8
ORD-16257,2023-07-08,Technology,Copiers,Desktop Copier,South,Consumer,8,0.1,6879.24,620.73,2023,7,Jul,2023-07,29.0
ORD-15376,2024-02-03,Office Supplies,Labels,Shipping Labels,South,Consumer,10,0.0,127.55,8.49,2024,2,Feb,2024-02,6.66
ORD-17570,2024-07-12,Furniture,Furnishings,Filing Tray,North,Corporate,3,0.3,1683.81,-60.41,2024,7,Jul,2024-07,-3.59
ORD-10716,2024-11-01,Technology,Machines,Laminator,West,Consumer,1,0.0,301.06,19.67,2024,11,Nov,2024-11,6.53
ORD-16720,2021-05-03,Furniture,Bookcases,Metal Shelving Unit,North,Corporate,1,0.15,676.05,90.2,2021,5,May,2021-05,13.34
ORD-17968,2023-04-17,Office Supplies,Paper,Notebook Set,Central,Consumer,2,0.1,207.24,59.15,2023,4,Apr,2023-04,28.54
ORD-19070,2024-08-06,Office Supplies,Binders,Heavy Duty Binder,North,Consumer,4,0.2,367.95,110.03,2024,8,Aug,2024-08,29.9
ORD-13210,2021-05-16,Technology,Accessories,Usb Hub,East,Home Office,2,0.0,2788.33,620.73,2021,5,May,2021-05,29.17
ORD-13639,2021-01-20,Furniture,Chairs,Executive Office Chair,North,Consumer,2,0.0,1574.43,27.77,2021,1,Jan,2021-01,1.76
ORD-12520,2022-07-26,Furniture,Furnishings,Desk Lamp,Central,Consumer,4,0.0,2853.19,554.56,2022,7,Jul,2022-07,19.44
ORD-11110,2023-04-18,Technology,Accessories,Keyboard,Central,Consumer,8,0.0,6879.24,475.23,2023,4,Apr,2023-04,3.7
ORD-14954,2024-10-13,Office Supplies,Binders,3-Ring Binder,East,Consumer,4,0.0,248.94,66.51,2024,10,Oct,2024-10,26.72
ORD-14114,2022-02-06,Office Supplies,Labels,Shipping Labels,Central,Corporate,8,0.0,60.14,16.92,2022,2,Feb,2022-02,28.13
ORD-19207,2022-05-31,Technology,Copiers,Desktop Copier,South,Corporate,12,0.2,6879.24,620.73,2022,5,May,2022-05,5.58
ORD-14736,2021-04-06,Furniture,Furnishings,Desk Lamp,Central,Corporate,11,0.0,3847.08,-141.28,2021,4,Apr,2021-04,-3.67
ORD-13783,2024-08-02,Office Supplies,Art,Sketch Pad,East,Consumer,7,0.0,410.75,81.71,2024,8,Aug,2024-08,19.89
ORD-19288,2024-03-25,Office Supplies,Labels,Address Labels,South,Consumer,7,0.3,92.87,22.83,2024,3,Mar,2024-03,24.58
ORD-12315,2024-07-28,Office Supplies,Labels,Shipping Labels,Central,Consumer,5,0.3,49.48,16.69,2024,7,Jul,2024-07,33.73
ORD-16563,2021-12-02,Office Supplies,Paper,Sticky Notes Pack,Central,Consumer,6,0.15,404.13,34.19,2021,12,Dec,2021-12,8.46
ORD-12905,2024-12-22,Furniture,Tables,Round Side Table,Central,Consumer,1,0.3,828.44,-0.65,2024,12,Dec,2024-12,-0.08
ORD-16567,2022-03-02,Technology,Phones,Smartphone X200,East,Corporate,2,0.3,1760.04,286.46,2022,3,Mar,2022-03,16.28
ORD-12908,2022-11-07,Office Supplies,Paper,Sticky Notes Pack,East,Consumer,2,0.0,133.52,23.12,2022,11,Nov,2022-11,17.32
ORD-18005,2022-03-29,Office Supplies,Art,Sketch Pad,East,Corporate,2,0.1,233.41,20.94,2022,3,Mar,2022-03,8.97
ORD-19084,2022-05-19,Office Supplies,Art,Color Pencils,West,Consumer,11,0.0,978.21,164.99,2022,5,May,2022-05,16.87
ORD-18426,2024-09-04,Office Supplies,Storage,Storage Box,Central,Corporate,5,0.0,201.74,58.92,2024,9,Sep,2024-09,29.21
ORD-18240,2023-08-24,Furniture,Chairs,Executive Office Chair,East,Corporate,2,0.1,164.19,6.98,2023,8,Aug,2023-08,4.25
ORD-10036,2021-06-22,Furniture,Furnishings,Wall Clock,South,Corporate,8,0.0,1301.53,243.07,2021,6,Jun,2021-06,18.68
ORD-16414,2024-05-28,Technology,Phones,Smartphone Lite,West,Consumer,2,0.0,2270.92,359.1,2024,5,May,2024-05,15.81
ORD-14277,2023-05-06,Technology,Accessories,Laptop Stand,South,Consumer,5,0.0,2847.35,268.92,2023,5,May,2023-05,9.44
ORD-13559,2022-02-09,Office Supplies,Labels,Address Labels,South,Home Office,13,0.0,186.19,40.9,2022,2,Feb,2022-02,21.97
ORD-17188,2021-08-31,Furniture,Chairs,Executive Office Chair,West,Corporate,2,0.15,1716.51,27.86,2021,8,Aug,2021-08,1.62
ORD-19219,2024-10-18,Office Supplies,Paper,Sticky Notes Pack,North,Consumer,9,0.15,907.28,80.68,2024,10,Oct,2024-10,8.89
ORD-14799,2023-09-18,Furniture,Bookcases,Corner Bookcase,Central,Home Office,13,0.2,6879.24,620.73,2023,9,Sep,2023-09,14.6
ORD-10965,2021-02-17,Office Supplies,Storage,Plastic Bin,North,Consumer,2,0.3,24.25,8.34,2021,2,Feb,2021-02,34.39
ORD-18656,2023-12-16,Office Supplies,Binders,View Binder,Central,Corporate,7,0.15,340.84,9.71,2023,12,Dec,2023-12,2.85
ORD-17908,2024-09-12,Office Supplies,Paper,Copy Paper Ream,West,Corporate,1,0.15,37.74,9.74,2024,9,Sep,2024-09,25.81
ORD-19678,2021-01-14,Office Supplies,Binders,Heavy Duty Binder,South,Consumer,1,0.2,26.93,4.35,2021,1,Jan,2021-01,16.15
ORD-10065,2022-10-02,Office Supplies,Art,Color Pencils,East,Consumer,9,0.15,458.83,109.97,2022,10,Oct,2022-10,23.97
ORD-16939,2021-03-30,Furniture,Tables,Round Side Table,East,Corporate,1,0.2,63.16,-7.5,2021,3,Mar,2021-03,-11.87
ORD-18776,2022-02-28,Office Supplies,Envelopes,Security Envelopes,Central,Corporate,13,0.2,223.72,71.1,2022,2,Feb,2022-02,31.78
ORD-13986,2023-06-27,Office Supplies,Storage,Storage Box,Central,Consumer,4,0.0,101.92,34.47,2023,6,Jun,2023-06,33.82
ORD-11748,2024-11-18,Office Supplies,Storage,Plastic Bin,North,Consumer,7,0.3,700.72,203.24,2024,11,Nov,2024-11,29.0
ORD-10052,2021-11-11,Technology,Phones,Smartphone X200,North,Consumer,5,0.3,1500.25,406.71,2021,11,Nov,2021-11,27.11
ORD-18522,2022-03-27,Furniture,Chairs,Ergo Recliner,Central,Corporate,7,0.0,6879.24,620.73,2022,3,Mar,2022-03,14.62
ORD-19153,2022-12-17,Technology,Phones,Office Cordless Phone,North,Consumer,3,0.1,797.79,125.07,2022,12,Dec,2022-12,15.68
ORD-12714,2021-05-02,Office Supplies,Labels,Shipping Labels,Central,Home Office,12,0.1,1108.78,121.24,2021,5,May,2021-05,10.93
ORD-13730,2023-02-12,Furniture,Bookcases,Corner Bookcase,West,Corporate,1,0.0,569.55,106.31,2023,2,Feb,2023-02,18.67
ORD-13580,2023-04-19,Office Supplies,Storage,Storage Box,Central,Consumer,9,0.3,1043.06,204.83,2023,4,Apr,2023-04,19.64
ORD-16050,2021-12-21,Office Supplies,Storage,File Cabinet,West,Consumer,8,0.15,903.49,175.12,2021,12,Dec,2021-12,19.38
ORD-14302,2024-01-11,Office Supplies,Paper,Sticky Notes Pack,West,Consumer,5,0.1,491.1,96.57,2024,1,Jan,2024-01,19.66
ORD-13845,2021-05-02,Furniture,Chairs,Folding Chair,East,Home Office,5,0.2,945.44,146.48,2021,5,May,2021-05,15.49
ORD-12139,2021-10-22,Office Supplies,Storage,Plastic Bin,West,Home Office,12,0.3,460.77,28.79,2021,10,Oct,2021-10,6.25
ORD-16716,2022-02-16,Office Supplies,Binders,3-Ring Binder,South,Consumer,4,0.3,84.42,16.93,2022,2,Feb,2022-02,20.05
ORD-12573,2023-10-08,Office Supplies,Labels,Shipping Labels,North,Consumer,9,0.0,356.85,120.09,2023,10,Oct,2023-10,33.65
ORD-14401,2023-11-29,Office Supplies,Envelopes,Security Envelopes,North,Consumer,4,0.2,340.84,17.62,2023,11,Nov,2023-11,5.17
ORD-15216,2022-08-25,Office Supplies,Binders,View Binder,South,Home Office,1,0.3,64.26,16.28,2022,8,Aug,2022-08,25.33
ORD-10011,2022-03-18,Technology,Accessories,Laptop Stand,South,Corporate,7,0.0,5588.18,620.73,2022,3,Mar,2022-03,27.43
ORD-11312,2022-01-03,Office Supplies,Storage,File Cabinet,East,Home Office,12,0.0,608.57,178.76,2022,1,Jan,2022-01,29.37
ORD-10863,2023-09-14,Furniture,Bookcases,Oak Bookcase,North,Consumer,6,0.15,2301.06,175.65,2023,9,Sep,2023-09,7.63
ORD-17999,2022-02-09,Office Supplies,Storage,File Cabinet,West,Consumer,13,0.0,1428.9,280.3,2022,2,Feb,2022-02,19.62
ORD-12753,2021-04-29,Office Supplies,Envelopes,Mailing Envelopes,East,Consumer,4,0.0,219.7,61.57,2021,4,Apr,2021-04,28.02
ORD-18309,2021-08-28,Office Supplies,Binders,Heavy Duty Binder,West,Consumer,4,0.2,264.9,26.47,2021,8,Aug,2021-08,9.99
ORD-15183,2023-07-07,Furniture,Furnishings,Desk Lamp,East,Corporate,7,0.3,5451.23,-168.3,2023,7,Jul,2023-07,-3.09
ORD-14699,2021-03-23,Technology,Accessories,Keyboard,East,Home Office,12,0.0,6879.24,620.73,2021,3,Mar,2021-03,20.53
ORD-15194,2022-08-09,Office Supplies,Labels,Address Labels,West,Consumer,2,0.2,28.76,7.91,2022,8,Aug,2022-08,27.5
ORD-16890,2022-09-13,Technology,Phones,Office Cordless Phone,East,Consumer,5,0.1,6879.24,620.73,2022,9,Sep,2022-09,21.57
ORD-18922,2024-10-05,Furniture,Tables,Adjustable Desk,East,Consumer,10,0.1,1684.24,27.86,2024,10,Oct,2024-10,1.65
ORD-17962,2024-09-09,Technology,Accessories,Wireless Mouse,Central,Home Office,3,0.15,168.99,12.62,2024,9,Sep,2024-09,7.47
ORD-14747,2021-04-24,Technology,Phones,Smartphone Lite,West,Corporate,13,0.0,6699.59,290.39,2021,4,Apr,2021-04,4.33
ORD-16417,2023-10-25,Office Supplies,Envelopes,Security Envelopes,North,Consumer,7,0.15,339.59,70.75,2023,10,Oct,2023-10,20.83
ORD-17042,2022-03-02,Office Supplies,Storage,Storage Box,East,Consumer,10,0.0,229.91,44.26,2022,3,Mar,2022-03,19.25
ORD-16463,2023-07-15,Office Supplies,Binders,3-Ring Binder,North,Home Office,12,0.0,413.32,96.72,2023,7,Jul,2023-07,23.4
ORD-11657,2023-09-03,Technology,Copiers,Heavy Duty Copier,East,Consumer,12,0.0,6879.24,620.73,2023,9,Sep,2023-09,29.7
ORD-11209,2024-04-06,Office Supplies,Envelopes,Security Envelopes,West,Corporate,1,0.0,67.69,13.36,2024,4,Apr,2024-04,19.74
ORD-15542,2022-03-06,Furniture,Furnishings,Wall Clock,North,Home Office,5,0.0,4225.48,410.04,2022,3,Mar,2022-03,9.7
ORD-13359,2024-11-24,Technology,Phones,Smartphone X200,West,Consumer,8,0.1,6879.24,620.73,2024,11,Nov,2024-11,22.03
ORD-12784,2023-07-16,Furniture,Bookcases,Corner Bookcase,South,Home Office,7,0.0,5104.88,620.73,2023,7,Jul,2023-07,16.01
ORD-18997,2021-09-07,Office Supplies,Envelopes,Mailing Envelopes,West,Corporate,8,0.0,889.29,260.5,2021,9,Sep,2021-09,29.29
ORD-11910,2023-01-06,Office Supplies,Art,Color Pencils,West,Home Office,8,0.0,259.0,30.29,2023,1,Jan,2023-01,11.69
ORD-17608,2023-01-18,Office Supplies,Paper,Notebook Set,East,Corporate,7,0.0,608.0,86.54,2023,1,Jan,2023-01,14.23
ORD-16490,2021-02-07,Furniture,Furnishings,Wall Clock,North,Consumer,1,0.1,508.42,46.46,2021,2,Feb,2021-02,9.14
ORD-19088,2024-10-07,Office Supplies,Storage,File Cabinet,West,Corporate,2,0.1,212.01,67.5,2024,10,Oct,2024-10,31.84
ORD-16629,2022-03-06,Technology,Phones,Office Cordless Phone,South,Corporate,9,0.15,6879.24,620.73,2022,3,Mar,2022-03,19.39
ORD-10507,2023-03-16,Technology,Copiers,Heavy Duty Copier,East,Consumer,8,0.2,6879.24,620.73,2023,3,Mar,2023-03,9.01
ORD-10680,2022-08-26,Office Supplies,Art,Marker Set,West,Consumer,11,0.0,782.75,51.8,2022,8,Aug,2022-08,6.62
ORD-13866,2023-05-05,Office Supplies,Storage,File Cabinet,North,Corporate,3,0.0,195.51,28.63,2023,5,May,2023-05,14.64
ORD-12705,2023-05-15,Furniture,Bookcases,Corner Bookcase,Central,Consumer,13,0.0,6879.24,-330.7900000000001,2023,5,May,2023-05,-13.71
ORD-10694,2021-04-05,Furniture,Chairs,Folding Chair,North,Consumer,3,0.2,2556.43,12.37,2021,4,Apr,2021-04,0.48
ORD-13777,2023-05-19,Technology,Copiers,Desktop Copier,North,Home Office,9,0.0,1314.17,176.07,2023,5,May,2023-05,13.4
ORD-16919,2021-05-13,Technology,Phones,Smartphone Lite,South,Consumer,5,0.0,297.18,35.3,2021,5,May,2021-05,11.88
ORD-17895,2023-03-05,Office Supplies,Art,Color Pencils,West,Corporate,3,0.2,28.4,2.58,2023,3,Mar,2023-03,9.08
ORD-13435,2024-06-13,Office Supplies,Art,Marker Set,East,Consumer,7,0.1,20.38,4.8,2024,6,Jun,2024-06,23.55
ORD-13303,2023-10-10,Furniture,Chairs,Folding Chair,South,Consumer,13,0.3,6879.24,620.73,2023,10,Oct,2023-10,13.4
ORD-14802,2022-12-25,Technology,Accessories,Wireless Mouse,West,Home Office,9,0.1,6879.24,620.73,2022,12,Dec,2022-12,12.32
ORD-16828,2023-11-05,Office Supplies,Envelopes,Mailing Envelopes,South,Consumer,6,0.0,44.54,3.6,2023,11,Nov,2023-11,8.08
ORD-12244,2024-04-07,Technology,Phones,Smartphone Lite,East,Consumer,12,0.0,6879.24,620.73,2024,4,Apr,2024-04,28.58
ORD-12008,2021-03-14,Furniture,Bookcases,Metal Shelving Unit,South,Consumer,3,0.3,206.66,-29.33,2021,3,Mar,2021-03,-14.19
ORD-10056,2023-06-30,Office Supplies,Storage,File Cabinet,North,Home Office,12,0.2,261.98,18.33,2023,6,Jun,2023-06,7.0
ORD-14593,2024-12-10,Furniture,Furnishings,Picture Frame,West,Consumer,5,0.0,510.55,-23.8,2024,12,Dec,2024-12,-4.66
ORD-11483,2021-12-13,Technology,Machines,Laminator,South,Consumer,13,0.1,5056.27,620.73,2021,12,Dec,2021-12,27.75
ORD-14881,2022-12-30,Office Supplies,Paper,Sticky Notes Pack,West,Home Office,5,0.3,299.5,95.73,2022,12,Dec,2022-12,31.96
ORD-12742,2022-04-18,Office Supplies,Envelopes,Mailing Envelopes,North,Corporate,7,0.0,456.42,81.22,2022,4,Apr,2022-04,17.8
ORD-10270,2023-12-19,Office Supplies,Art,Sketch Pad,West,Home Office,3,0.0,352.69,85.62,2023,12,Dec,2023-12,24.28
ORD-10948,2024-05-26,Office Supplies,Binders,View Binder,West,Consumer,6,0.3,335.51,78.58,2024,5,May,2024-05,23.42
ORD-12017,2022-07-05,Furniture,Bookcases,Metal Shelving Unit,North,Consumer,10,0.0,6879.24,-330.7900000000001,2022,7,Jul,2022-07,-6.04
ORD-13131,2024-07-01,Technology,Accessories,Wireless Mouse,Central,Corporate,7,0.0,6879.24,620.73,2024,7,Jul,2024-07,13.65
ORD-14649,2023-11-15,Office Supplies,Paper,Copy Paper Ream,East,Consumer,2,0.3,152.4,38.27,2023,11,Nov,2023-11,25.11
ORD-16886,2022-07-29,Furniture,Bookcases,Corner Bookcase,East,Home Office,8,0.0,3052.88,-330.7900000000001,2022,7,Jul,2022-07,-13.35
ORD-14603,2023-06-29,Office Supplies,Labels,Address Labels,West,Consumer,10,0.0,334.84,93.95,2023,6,Jun,2023-06,28.06
ORD-19603,2022-01-25,Office Supplies,Storage,Plastic Bin,Central,Corporate,9,0.3,211.58,55.46,2022,1,Jan,2022-01,26.21
ORD-10500,2022-08-27,Office Supplies,Art,Marker Set,North,Home Office,13,0.0,498.16,113.87,2022,8,Aug,2022-08,22.86
ORD-18006,2022-12-13,Office Supplies,Binders,3-Ring Binder,South,Corporate,9,0.0,611.1,58.92,2022,12,Dec,2022-12,9.64
ORD-12883,2023-03-25,Office Supplies,Envelopes,Mailing Envelopes,East,Home Office,11,0.1,148.38,36.82,2023,3,Mar,2023-03,24.81
ORD-17943,2024-07-10,Office Supplies,Paper,Notebook Set,West,Consumer,12,0.0,739.8,147.24,2024,7,Jul,2024-07,19.9
ORD-10378,2022-09-09,Office Supplies,Envelopes,Security Envelopes,South,Consumer,2,0.1,133.91,33.12,2022,9,Sep,2022-09,24.73
ORD-18352,2021-11-07,Office Supplies,Binders,Heavy Duty Binder,North,Home Office,2,0.0,340.84,31.87,2021,11,Nov,2021-11,9.35
ORD-16489,2021-04-19,Office Supplies,Labels,Address Labels,East,Consumer,10,0.3,863.21,58.92,2021,4,Apr,2021-04,6.83
ORD-15072,2021-10-16,Office Supplies,Envelopes,Mailing Envelopes,Central,Consumer,9,0.15,340.84,11.69,2021,10,Oct,2021-10,3.43
ORD-14498,2023-01-03,Office Supplies,Paper,Sticky Notes Pack,North,Corporate,5,0.1,323.94,109.73,2023,1,Jan,2023-01,33.87
ORD-15653,2023-02-15,Office Supplies,Binders,View Binder,West,Corporate,10,0.0,890.85,161.66,2023,2,Feb,2023-02,18.15
ORD-13976,2023-03-12,Technology,Copiers,Desktop Copier,North,Consumer,12,0.0,5227.76,620.73,2023,3,Mar,2023-03,25.69
ORD-13734,2024-04-18,Office Supplies,Art,Sketch Pad,West,Consumer,13,0.3,553.98,130.05,2024,4,Apr,2024-04,23.48
ORD-18089,2024-07-18,Office Supplies,Envelopes,Security Envelopes,West,Home Office,10,0.15,77.23,23.05,2024,7,Jul,2024-07,29.85
ORD-16895,2024-02-27,Furniture,Furnishings,Filing Tray,West,Consumer,10,0.0,4351.44,-330.7900000000001,2024,2,Feb,2024-02,-13.61
ORD-10420,2022-05-09,Furniture,Bookcases,Corner Bookcase,South,Consumer,12,0.1,6879.24,-330.7900000000001,2022,5,May,2022-05,-9.38
ORD-15825,2022-10-22,Office Supplies,Envelopes,Security Envelopes,South,Home Office,6,0.0,558.39,122.35,2022,10,Oct,2022-10,21.91
ORD-15560,2023-07-09,Office Supplies,Envelopes,Mailing Envelopes,West,Consumer,7,0.3,506.7,44.23,2023,7,Jul,2023-07,8.73
ORD-17848,2024-12-13,Office Supplies,Paper,Sticky Notes Pack,South,Consumer,5,0.0,211.22,61.33,2024,12,Dec,2024-12,29.04
ORD-15840,2024-12-01,Technology,Copiers,Heavy Duty Copier,South,Home Office,11,0.2,6879.24,620.73,2024,12,Dec,2024-12,3.47
ORD-11179,2023-02-04,Furniture,Furnishings,Desk Lamp,North,Consumer,7,0.15,1951.5,14.2,2023,2,Feb,2023-02,0.73
ORD-15759,2021-11-17,Office Supplies,Art,Marker Set,Central,Home Office,9,0.0,145.52,10.49,2021,11,Nov,2021-11,7.21
ORD-14972,2024-10-14,Technology,Copiers,Desktop Copier,West,Consumer,9,0.3,6879.24,620.73,2024,10,Oct,2024-10,18.55
ORD-17400,2023-02-08,Office Supplies,Storage,File Cabinet,East,Corporate,13,0.3,440.76,30.14,2023,2,Feb,2023-02,6.84
ORD-17591,2024-01-31,Furniture,Tables,Conference Table,East,Consumer,3,0.0,2556.43,-204.42,2024,1,Jan,2024-01,-8.0
ORD-18646,2023-01-27,Office Supplies,Labels,Shipping Labels,West,Corporate,1,0.0,340.84,10.59,2023,1,Jan,2023-01,3.11
ORD-14570,2023-04-15,Technology,Copiers,Desktop Copier,North,Corporate,13,0.2,6879.24,620.73,2023,4,Apr,2023-04,27.47
ORD-18570,2021-03-30,Furniture,Chairs,Ergo Recliner,South,Consumer,2,0.0,1495.29,-81.48,2021,3,Mar,2021-03,-5.45
ORD-16401,2023-09-23,Office Supplies,Labels,Address Labels,West,Consumer,6,0.0,481.03,49.31,2023,9,Sep,2023-09,10.25
ORD-11873,2023-05-12,Technology,Machines,Calculator,West,Home Office,13,0.1,3187.44,242.25,2023,5,May,2023-05,7.6
ORD-13894,2022-01-21,Office Supplies,Art,Sketch Pad,West,Consumer,11,0.3,512.89,162.21,2022,1,Jan,2022-01,31.63
ORD-16764,2024-12-10,Office Supplies,Paper,Notebook Set,Central,Consumer,13,0.0,397.55,106.53,2024,12,Dec,2024-12,26.8
ORD-15081,2024-01-01,Office Supplies,Labels,Shipping Labels,East,Home Office,8,0.1,482.69,112.93,2024,1,Jan,2024-01,23.4
ORD-14120,2022-01-01,Office Supplies,Binders,3-Ring Binder,South,Home Office,8,0.15,478.51,158.57,2022,1,Jan,2022-01,33.14
ORD-12950,2022-02-07,Office Supplies,Storage,File Cabinet,North,Consumer,12,0.1,723.8,79.45,2022,2,Feb,2022-02,10.98
ORD-16386,2024-11-02,Technology,Copiers,Heavy Duty Copier,South,Consumer,13,0.0,3189.1,456.09,2024,11,Nov,2024-11,14.3
ORD-15640,2023-06-16,Office Supplies,Storage,Plastic Bin,South,Corporate,2,0.2,115.79,7.0,2023,6,Jun,2023-06,6.05
ORD-13150,2022-03-24,Office Supplies,Paper,Sticky Notes Pack,South,Corporate,6,0.3,247.2,72.34,2022,3,Mar,2022-03,29.26
ORD-16533,2024-06-30,Office Supplies,Storage,File Cabinet,South,Consumer,5,0.1,234.43,24.21,2024,6,Jun,2024-06,10.33
ORD-18372,2023-04-08,Office Supplies,Paper,Notebook Set,South,Consumer,3,0.15,191.05,58.92,2023,4,Apr,2023-04,30.84
ORD-16509,2022-12-27,Office Supplies,Envelopes,Mailing Envelopes,Central,Consumer,6,0.3,586.79,142.77,2022,12,Dec,2022-12,24.33
ORD-17409,2022-10-02,Office Supplies,Paper,Copy Paper Ream,Central,Corporate,10,0.3,288.35,68.16,2022,10,Oct,2022-10,23.64
ORD-15626,2024-05-13,Office Supplies,Art,Sketch Pad,North,Corporate,8,0.2,587.43,149.31,2024,5,May,2024-05,25.42
ORD-12773,2023-01-15,Office Supplies,Labels,Shipping Labels,South,Consumer,10,0.0,853.44,90.69,2023,1,Jan,2023-01,10.63
ORD-11243,2023-03-17,Office Supplies,Binders,3-Ring Binder,North,Corporate,6,0.2,252.99,42.51,2023,3,Mar,2023-03,16.8
ORD-16988,2024-03-23,Office Supplies,Storage,File Cabinet,North,Consumer,6,0.3,542.97,89.71,2024,3,Mar,2024-03,16.52
ORD-14550,2024-02-20,Office Supplies,Envelopes,Mailing Envelopes,East,Corporate,3,0.0,124.39,19.81,2024,2,Feb,2024-02,15.93
ORD-11041,2023-06-14,Office Supplies,Binders,Heavy Duty Binder,North,Home Office,2,0.0,228.34,16.86,2023,6,Jun,2023-06,7.38
