Order ID,Order Date,Category,Sub-Category,Product Name,Region,Customer Segment,Quantity,Discount,Sales,Profit
ORD-18309,2021-08-28,Office Supplies,Binders,Heavy Duty Binder,West,Consumer,4.0,0.2,264.9,26.47
ORD-15183,2023-07-07 00:00:00,Furniture,Furnishings,Desk Lamp,East,Corporate,7.0,0.3,5451.23,-168.3
ORD-14699,2021-03-23 00:00:00,Technology,Accessories,Keyboard,EAST,Home Office,12.0,0.0,16919.47,3474.31
ORD-15194,2022-08-09,Office Supplies,Labels,Address Labels,West,Consumer,2.0,0.2,28.76,7.91
ORD-16890,2022-09-13,Technology,Phones,Office Cordless Phone,East,Consumer,5.0,0.1,7278.2,1569.58
ORD-18922,2024-10-05 00:00:00,Furniture,Tables,Adjustable Desk,East,Consumer,10.0,0.1,1684.24,
ORD-17962,2024-09-09 00:00:00,Technology,Accessories,Wireless Mouse,Central,Home Office,3.0,0.15,168.99,12.62
ORD-14747,2021-04-24,Technology,Phones,Smartphone Lite,West,Corporate,13.0,0.0,6699.59,290.39
ORD-16417,2023-10-25,Office Supplies,Envelopes,Security Envelopes,North,Consumer,7.0,0.15,339.59,70.75
ORD-17042,2022-03-02,Office Supplies,Storage,Storage Box,EAST,Consumer,10.0,0.0,229.91,44.26
ORD-16463,2023-07-15 00:00:00,Office Supplies,Binders,3-Ring Binder,North,Home Office,12.0,0.0,413.32,96.72
ORD-11657,2023-09-03,Technology,Copiers,Heavy Duty Copier,East,Consumer,12.0,0.0,22469.91,6674.06
ORD-11209,2024-04-06 00:00:00,Office Supplies,Envelopes,Security Envelopes,West,Corporate,1.0,0.0,67.69,13.36
ORD-15542,2022-03-06,Furniture,Furnishings,Wall Clock,North,Home Office,5.0,0.0,4225.48,410.04
ORD-13359,2024-11-24 00:00:00,Technology,Phones,Smartphone X200,West,Consumer,8.0,0.1,10035.71,2210.39
ORD-12784,2023-07-16,Furniture,Bookcases,Corner Bookcase,South,Home Office,7.0,0.0,5104.88,817.25
ORD-18997,2021-09-07,Office Supplies,Envelopes,Mailing Envelopes,West,Corporate,8.0,0.0,889.29,260.5
ORD-11910,2023-01-06 00:00:00,Office Supplies,Art,Color Pencils,West,Home Office,8.0,0.0,259.0,30.29
ORD-17608,2023-01-18 00:00:00,Office Supplies,Paper,Notebook Set,East,Corporate,7.0,0.0,608.0,86.54
ORD-16490,2021-02-07,Furniture,Furnishings,Wall Clock,,Consumer,1.0,0.1,508.42,46.46
ORD-19088,2024-10-07,Office Supplies,Storage,File Cabinet,West,Corporate,2.0,0.1,212.01,67.5
ORD-16629,2022-03-06 00:00:00,Technology,Phones,Office Cordless Phone,South,Corporate,9.0,0.15,14343.9,2781.82
ORD-10507,2023-03-16,Technology,Copiers,Heavy Duty Copier,East,Consumer,8.0,0.2,14687.91,1323.39
ORD-10680,2022-08-26 00:00:00,Office Supplies,Art,Marker Set,West,Consumer,11.0,0.0,782.75,51.8
ORD-13866,2023-05-05 00:00:00,Office Supplies,Storage,File Cabinet,,Corporate,3.0,0.0,195.51,28.63
ORD-12705,2023-05-15 00:00:00,Furniture,Bookcases,Corner Bookcase,Central,Consumer,13.0,0.0,7064.41,-968.78
ORD-10694,2021-04-05 00:00:00,Furniture,Chairs,Folding Chair,,Consumer,3.0,0.2,,12.37
ORD-13777,2023-05-19 00:00:00,Technology,Copiers,Desktop Copier,North,Home Office,9.0,0.0,1314.17,176.07
ORD-16919,2021-05-13 00:00:00,Technology,Phones,Smartphone Lite,South,Consumer,5.0,0.0,297.18,35.3
ORD-17895,2023-03-05,Office Supplies,Art,Color Pencils,West,Corporate,3.0,0.2,28.4,2.58
ORD-13435,2024-06-13,Office Supplies,Art,Marker Set,East,Consumer,,0.1,20.38,4.8
ORD-13303,2023-10-10 00:00:00,Furniture,Chairs,Folding Chair,South,Consumer,13.0,0.3,11178.46,1497.43
ORD-14802,2022-12-25 00:00:00,Technology,Accessories,Wireless Mouse,West,Home Office,9.0,0.1,15913.65,1961.27
ORD-16828,2023-11-05,Office Supplies,Envelopes,Mailing Envelopes,South,Consumer,6.0,0.0,44.54,3.6
ORD-12244,2024-04-07 00:00:00,Technology,Phones,Smartphone Lite,East,Consumer,12.0,0.0,13309.35,3804.0
ORD-12008,2021-03-14,Furniture,Bookcases,Metal Shelving Unit,South,Consumer,3.0,0.3,206.66,-29.33
ORD-10056,2023-06-30 00:00:00,Office Supplies,Storage,File Cabinet,North,Home Office,12.0,0.2,261.98,18.33
ORD-14593,2024-12-10 00:00:00, Furniture ,Furnishings,Picture Frame,West,Consumer,5.0,0.0,510.55,-23.8
ORD-11483,2021-12-13,Technology,Machines,Laminator,South,Consumer,13.0,0.1,5056.27,1403.07
ORD-14881,2022-12-30 00:00:00,Office Supplies,Paper,Sticky Notes Pack,West,Home Office,5.0,0.3,299.5,95.73
ORD-12742,2022-04-18,Office Supplies,Envelopes,Mailing Envelopes,North,Corporate,7.0,0.0,456.42,81.22
ORD-10270,2023-12-19 00:00:00,Office Supplies,Art,Sketch Pad,West,Home Office,3.0,0.0,352.69,85.62
ORD-10948,2024-05-26 00:00:00,Office Supplies,Binders,View Binder,West,,6.0,0.3,335.51,78.58
ORD-12017,2022-07-05,Furniture,Bookcases,Metal Shelving Unit,,Consumer,10.0,0.0,8681.92,-524.73
ORD-13131,2024-07-01 00:00:00,Technology,Accessories,Wireless Mouse,Central,Corporate,,0.0,9085.34,1240.58
ORD-14649,2023-11-15 00:00:00,Office Supplies,Paper,Copy Paper Ream,East,Consumer,2.0,0.3,152.4,38.27
ORD-16886,2022-07-29 00:00:00,Furniture,Bookcases,Corner Bookcase,East,Home Office,8.0,0.0,3052.88,-407.5
ORD-14603,2023-06-29,Office Supplies,Labels,Address Labels,West,Consumer,10.0,0.0,334.84,93.95
ORD-19603,2022-01-25 00:00:00,Office Supplies,Storage,Plastic Bin,Central,Corporate,9.0,0.3,211.58,55.46
ORD-10500,2022-08-27,Office Supplies,Art,Marker Set,North,Home Office,13.0,0.0,498.16,113.87
ORD-18006,2022-12-13 00:00:00,Office Supplies,Binders,3-Ring Binder,South,Corporate,9.0,0.0,611.1,
ORD-12883,2023-03-25 00:00:00,Office Supplies,Envelopes,Mailing Envelopes,East,Home Office,11.0,0.1,148.38,36.82
ORD-17943,2024-07-10 00:00:00,Office Supplies,Paper,Notebook Set,West,Consumer,12.0,0.0,739.8,147.24
ORD-10378,2022-09-09 00:00:00,Office Supplies,Envelopes,Security Envelopes,South,Consumer,2.0,0.1,133.91,33.12
ORD-18352,2021-11-07 00:00:00,Office Supplies,Binders,Heavy Duty Binder,,Home Office,2.0,0.0,,31.87
ORD-16489,2021-04-19 00:00:00,Office Supplies,Labels,Address Labels,East,,10.0,0.3,863.21,
ORD-15072,2021-10-16 00:00:00,Office Supplies,Envelopes,Mailing Envelopes,Central,Consumer,9.0,0.15,,11.69
ORD-14498,2023-01-03,Office Supplies,Paper,Sticky Notes Pack,North,Corporate,5.0,0.1,323.94,109.73
ORD-15653,2023-02-15,Office Supplies,Binders,View Binder,West,Corporate,10.0,0.0,890.85,161.66
ORD-13976,2023-03-12 00:00:00,Technology,Copiers,Desktop Copier,North,Consumer,12.0,0.0,5227.76,1342.83
ORD-13734,2024-04-18 00:00:00,Office Supplies,Art,Sketch Pad,West,,13.0,0.3,553.98,130.05
ORD-18089,2024-07-18 00:00:00,Office Supplies,Envelopes,Security Envelopes,West,Home Office,10.0,0.15,77.23,23.05
ORD-16895,2024-02-27 00:00:00,Furniture,Furnishings,Filing Tray,West,Consumer,10.0,0.0,4351.44,-592.33
ORD-10420,2022-05-09,Furniture,Bookcases,Corner Bookcase,South,Consumer,12.0,0.1,8572.31,-803.9
ORD-15825,2022-10-22 00:00:00,Office Supplies,Envelopes,Security Envelopes,South,Home Office,6.0,0.0,558.39,122.35
ORD-15560,2023-07-09 00:00:00,Office Supplies,Envelopes,Mailing Envelopes,West,Consumer,7.0,0.3,506.7,44.23
ORD-17848,2024-12-13 00:00:00,Office Supplies,Paper,Sticky Notes Pack,South,Consumer,5.0,0.0,211.22,61.33
ORD-15840,2024-12-01 00:00:00,Technology,Copiers,Heavy Duty Copier,South,Home Office,11.0,0.2,18307.45,
ORD-11179,2023-02-04,Furniture,Furnishings,Desk Lamp,North,Consumer,7.0,0.15,1951.5,14.2
ORD-15759,2021-11-17 00:00:00,Office Supplies,Art,Marker Set,Central,Home Office,9.0,0.0,145.52,10.49
ORD-14972,2024-10-14,Technology,Copiers,Desktop Copier,West,Consumer,9.0,0.3,8262.56,1532.39
ORD-17400,2023-02-08 00:00:00,Office Supplies,Storage,File Cabinet,East,Corporate,13.0,0.3,440.76,30.14
ORD-17591,2024-01-31,Furniture,Tables,Conference Table,East,Consumer,3.0,0.0,,-204.42
ORD-18646,2023-01-27 00:00:00,Office Supplies,Labels,Shipping Labels,West,Corporate,1.0,0.0,,10.59
ORD-14570,2023-04-15,Technology,Copiers,Desktop Copier,North,Corporate,13.0,0.2,7208.45,1979.89
ORD-18570,2021-03-30,Furniture,Chairs,Ergo Recliner,South,Consumer,2.0,0.0,1495.29,-81.48
ORD-16401,2023-09-23,Office Supplies,Labels,Address Labels,West,,6.0,0.0,481.03,49.31
ORD-11873,2023-05-12 00:00:00,Technology,Machines,Calculator,WEST,Home Office,13.0,0.1,3187.44,242.25
ORD-13894,2022-01-21,Office Supplies,Art,Sketch Pad,West,Consumer,11.0,0.3,512.89,162.21
ORD-16764,2024-12-10 00:00:00,Office Supplies,Paper,Notebook Set,Central,Consumer,13.0,0.0,397.55,106.53
ORD-15081,2024-01-01 00:00:00,Office Supplies,Labels,Shipping Labels,East,Home Office,8.0,0.1,482.69,112.93
ORD-14120,2022-01-01 00:00:00,Office Supplies,Binders,3-Ring Binder,South,Home Office,8.0,0.15,478.51,158.57
ORD-12950,2022-02-07,Office Supplies,Storage,File Cabinet,North,Consumer,12.0,0.1,723.8,79.45
ORD-16386,2024-11-02,Technology,Copiers,Heavy Duty Copier,South,,13.0,0.0,3189.1,456.09
ORD-15640,2023-06-16 00:00:00,Office Supplies,Storage,Plastic Bin,South,Corporate,2.0,0.2,115.79,7.0
ORD-13150,2022-03-24,Office Supplies,Paper,Sticky Notes Pack,South,Corporate,6.0,0.3,247.2,72.34
ORD-16533,2024-06-30 00:00:00,Office Supplies,Storage,File Cabinet,South,Consumer,5.0,0.1,234.43,24.21
ORD-18372,2023-04-08 00:00:00,Office Supplies,Paper,Notebook Set,South,Consumer,3.0,0.15,191.05,
ORD-16509,2022-12-27 00:00:00,Office Supplies,Envelopes,Mailing Envelopes,Central,Consumer,6.0,0.3,586.79,142.77
ORD-17409,2022-10-02,Office Supplies,Paper,Copy Paper Ream,Central,Corporate,10.0,0.3,288.35,68.16
ORD-15626,2024-05-13 00:00:00,Office Supplies,Art,Sketch Pad,North,Corporate,8.0,0.2,587.43,149.31
ORD-12773,2023-01-15 00:00:00,Office Supplies,Labels,Shipping Labels,South,Consumer,10.0,0.0,853.44,90.69
ORD-11243,2023-03-17,Office Supplies,Binders,3-Ring Binder,North,Corporate,6.0,0.2,252.99,42.51
ORD-16988,2024-03-23,Office Supplies,Storage,File Cabinet,North,Consumer,6.0,0.3,542.97,89.71
ORD-14550,2024-02-20,Office Supplies,Envelopes,Mailing Envelopes,East,Corporate,3.0,0.0,124.39,19.81
ORD-11041,2023-06-14 00:00:00,Office Supplies,Binders,Heavy Duty Binder,North,Home Office,2.0,0.0,228.34,16.86
ORD-18694,2022-06-04,Technology,Copiers,Heavy Duty Copier,Central,Consumer,1.0,0.0,1778.66,416.51
ORD-13116,2024-09-26 00:00:00,Office Supplies,Storage,Storage Box,East,Corporate,2.0,0.0,170.99,44.7
ORD-14698,2024-05-08 00:00:00,Office Supplies,Paper,Sticky Notes Pack,Central,Consumer,2.0,0.0,155.78,38.93
ORD-11293,2022-01-11 00:00:00,Office Supplies,Art,Color Pencils,West,Consumer,1.0,0.2,7.34,0.68
ORD-17666,2023-06-14 00:00:00,Office Supplies,Storage,Plastic Bin,South,Home Office,3.0,0.1,19.05,6.31
ORD-13601,2023-08-27 00:00:00,Office Supplies,Paper,Notebook Set,South,Corporate,11.0,0.0,1099.22,63.67
ORD-10737,2024-08-17 00:00:00,Technology,Phones,Smartphone X200,Central,Corporate,1.0,0.3,1688.68,83.87
ORD-10533,2023-01-23 00:00:00,Furniture,Chairs,Ergo Recliner,North,Home Office,7.0,0.0,736.04,26.74
ORD-15240,2021-06-11 00:00:00,Office Supplies,Envelopes,Mailing Envelopes,North,Home Office,11.0,0.0,766.98,94.1
ORD-14251,2023-01-29 00:00:00,Office Supplies,Paper,Copy Paper Ream,West,Consumer,6.0,0.2,407.49,98.38
ORD-12021,2022-11-25 00:00:00,Office Supplies,Art,Marker Set,West,Corporate,4.0,0.0,317.97,107.59
ORD-18412,2024-03-03 00:00:00,Office Supplies,Labels,Address Labels,Central,Home Office,6.0,0.1,649.71,135.91
ORD-16593,2024-08-04 00:00:00,Office Supplies,Art,Color Pencils,East,Consumer,12.0,0.0,172.67,44.91
ORD-16196,2023-06-19 00:00:00,Office Supplies,Envelopes,Mailing Envelopes,CENTRAL,Consumer,5.0,0.0,24.5,7.34
ORD-14872,2022-06-30 00:00:00,Office Supplies,Labels,Address Labels,Central,Corporate,7.0,0.0,102.09,26.42
ORD-10641,2021-02-28, Technology ,Accessories,Keyboard,South,Consumer,,0.3,1463.88,271.47
ORD-10794,2024-10-16 00:00:00,Furniture,Chairs,Folding Chair,North,Consumer,8.0,0.0,1210.19,101.07
ORD-16843,2022-09-17 00:00:00,Furniture,Chairs,Ergo Recliner,West,Corporate,8.0,0.2,2990.04,34.74
ORD-17835,2021-01-29 00:00:00,Technology,Phones,Smartphone Lite,South,,7.0,0.15,13047.67,2170.51
ORD-17218,2021-09-28 00:00:00,Technology,Machines,Laminator,South,,13.0,0.0,3997.73,655.57
ORD-15828,2024-08-10,Office Supplies,Labels,Address Labels,North,Consumer,5.0,0.0,207.15,20.36
ORD-15890,2023-05-19,Office Supplies,Art,Sketch Pad,West,Corporate,,0.1,290.15,59.67
ORD-16801,2023-06-18 00:00:00, Office Supplies ,Envelopes,Security Envelopes,North,Consumer,6.0,0.0,,11.06
ORD-17945,2021-06-02,Office Supplies,Art,Sketch Pad,West,Consumer,13.0,0.3,1249.44,181.89
ORD-13788,2023-06-21,Furniture,Furnishings,Filing Tray,South,Consumer,6.0,0.0,1627.07,-47.68
ORD-12405,2021-12-06 00:00:00,Office Supplies,Labels,Shipping Labels,West,Corporate,6.0,0.0,678.07,139.59
ORD-15221,2022-02-21,Office Supplies,Art,Marker Set,,Corporate,1.0,0.15,89.73,15.62
ORD-17192,2022-04-15,Office Supplies,Paper,Sticky Notes Pack,North,Home Office,7.0,0.1,142.19,13.55
ORD-18612,2021-04-07 00:00:00,Technology,Machines,Label Printer,East,Corporate,1.0,0.15,452.97,101.57
ORD-19301,2021-03-13,Office Supplies,Storage,Storage Box,East,Home Office,7.0,0.15,560.08,91.41
ORD-15311,2023-08-09,Technology,Copiers,Heavy Duty Copier,West,Consumer,7.0,0.1,2642.7,750.12
ORD-13037,2022-09-30 00:00:00,Office Supplies,Envelopes,Security Envelopes,East,Consumer,6.0,0.0,299.23,90.34
ORD-16922,2023-10-15 00:00:00,Furniture,Tables,Round Side Table,South,Consumer,1.0,0.2,331.23,-21.45
ORD-16497,2024-01-19 00:00:00,Office Supplies,Labels,Shipping Labels,Central,Corporate,12.0,0.2,649.6,65.44
ORD-18588,2022-01-02,Office Supplies,Envelopes,Security Envelopes,Central,Consumer,11.0,0.0,1301.46,
ORD-14669,2023-07-10,Office Supplies,Art,Color Pencils,Central,Corporate,6.0,0.0,807.5,93.34
ORD-19188,2021-03-03 00:00:00,Technology,Accessories,USB Hub,West,Consumer,7.0,0.0,11492.99,2145.53
ORD-11665,2021-06-06, Technology ,Phones,Smartphone Lite,South,Corporate,13.0,0.0,8611.32,1042.8
ORD-15347,2023-04-04 00:00:00,Office Supplies,Envelopes,Mailing Envelopes,West,Corporate,11.0,0.0,771.97,138.95
ORD-14667,2023-06-14 00:00:00,Technology,Copiers,Heavy Duty Copier,North,Consumer,5.0,0.3,5730.47,1210.88
ORD-18380,2022-10-30,Technology,Copiers,Desktop Copier,North,Corporate,12.0,0.0,12689.65,1343.57
